,Code,Description,Units,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,201516,201617,201718,201819,201920,202021,202122,RSE indicator(b),% change since 201819,sig(c),trend since 201819(d),Unnamed: 59,reliability of 3 year percent relative SE
35,13,,p,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,6.0,8.0,10.0,11.0,12.0,14.0,16.0,19.0,23.0,27.0,28.0,27.0,29.0,30.0,31.0,30.0,30.0,33.0,31.0,34.0,36.0,40.0,43.0,44.0,44.0,48.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,54.0,52.0,54.0,54.0,üü,+1,,,,üüü
36,1301,,p,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,6.0,8.0,10.0,11.0,12.0,14.0,16.0,19.0,23.0,23.0,23.0,23.0,24.0,25.0,25.0,25.0,26.0,28.0,27.0,28.0,31.0,35.0,37.0,39.0,38.0,42.0,45.0,44.0,44.0,46.0,46.0,47.0,47.0,47.0,49.0,49.0,50.0,49.0,52.0,52.0,üü,+3,,,,üüü
37,1302,,p,,,,,,,,,,,,,,,,,,,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,ü,-29,yes,m,,ü
38,16,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,9.0,9.0,10.0,10.0,11.0,12.0,14.0,14.0,17.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,23.0,22.0,22.0,24.0,24.0,25.0,25.0,25.0,28.0,33.0,32.0,32.0,41.0,39.0,üü,+21,yes,k,,üüü
39,1603,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,8.0,8.0,10.0,10.0,10.0,12.0,13.0,14.0,14.0,13.0,13.0,14.0,14.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,17.0,15.0,16.0,16.0,16.0,üü,+6,,,,üü
40,1605,,p,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,û,-92,,,,û
41,1607,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,7.0,9.0,8.0,ü,+11,,,,üü
42,1608,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,7.0,8.0,9.0,9.0,15.0,15.0,ü,+58,yes,k,,üü
43,17,,p,2.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,üü,+13,,k,,üü
44,22023,Cheese,p,9.0,10.0,12.0,15.0,17.0,20.0,24.0,26.0,27.0,30.0,29.0,31.0,34.0,34.0,38.0,40.0,41.0,43.0,46.0,48.0,47.0,49.0,53.0,55.0,51.0,52.0,54.0,57.0,58.0,59.0,60.0,63.0,64.0,68.0,70.0,75.0,79.0,80.0,81.0,85.0,81.0,79.0,80.0,85.0,87.0,90.0,92.0,107.0,97.0,üüü,+7,yes,k,,üüü
45,22,,p,8.0,9.0,11.0,14.0,15.0,19.0,22.0,24.0,25.0,27.0,27.0,29.0,31.0,31.0,35.0,36.0,38.0,39.0,41.0,43.0,42.0,44.0,47.0,49.0,46.0,47.0,48.0,50.0,51.0,51.0,53.0,57.0,57.0,61.0,63.0,69.0,72.0,74.0,74.0,78.0,73.0,72.0,72.0,78.0,80.0,83.0,85.0,99.0,88.0,üüü,+6,,k,,üüü
46,2201,,p,5.0,6.0,8.0,10.0,11.0,13.0,15.0,17.0,18.0,18.0,18.0,19.0,20.0,20.0,23.0,24.0,25.0,25.0,26.0,27.0,27.0,28.0,29.0,31.0,30.0,29.0,31.0,30.0,30.0,31.0,30.0,34.0,35.0,37.0,40.0,43.0,44.0,45.0,45.0,48.0,44.0,42.0,42.0,43.0,45.0,45.0,45.0,52.0,47.0,üü,+4,,k,,üüü
47,2202,,p,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,ü,+12,,,,üü
48,2203,,p,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,11.0,12.0,13.0,13.0,ü,+17,,k,,üü
49,2205,,p,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,-30,,,,ü
50,2206,,p,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,17.0,18.0,19.0,20.0,25.0,20.0,üü,+8,,k,,üü
51,2301,,p,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,ü,+20,yes,k,,üü
52,31041,Carcase meat,p,44.0,52.0,59.0,70.0,80.0,92.0,105.0,102.0,109.0,108.0,104.0,110.0,113.0,110.0,114.0,122.0,116.0,118.0,108.0,111.0,105.0,101.0,104.0,105.0,100.0,98.0,106.0,103.0,106.0,111.0,114.0,114.0,120.0,121.0,122.0,127.0,130.0,129.0,136.0,136.0,141.0,135.0,136.0,127.0,133.0,127.0,129.0,160.0,120.0,üü,-6,,,,üü
53,31,,p,24.0,30.0,32.0,39.0,45.0,50.0,55.0,53.0,58.0,57.0,55.0,59.0,61.0,63.0,64.0,67.0,58.0,61.0,56.0,57.0,56.0,53.0,45.0,50.0,48.0,49.0,54.0,56.0,57.0,60.0,64.0,63.0,68.0,67.0,68.0,71.0,73.0,72.0,77.0,81.0,84.0,82.0,82.0,82.0,83.0,82.0,80.0,101.0,76.0,üü,-7,,,,üü
54,3102,,p,1.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,û,+32,,,,û
55,3103,,p,9.0,11.0,12.0,14.0,16.0,16.0,19.0,18.0,21.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,18.0,16.0,15.0,14.0,16.0,15.0,8.0,9.0,11.0,11.0,13.0,14.0,15.0,15.0,15.0,14.0,17.0,14.0,14.0,14.0,13.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,13.0,11.0,18.0,13.0,ü,+1,,,,ü
56,3104,,p,6.0,7.0,8.0,9.0,11.0,12.0,12.0,13.0,13.0,14.0,13.0,12.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,11.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,17.0,15.0,ü,+15,,k,,üü
57,3105,,p,5.0,6.0,6.0,6.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,12.0,13.0,14.0,14.0,17.0,12.0,14.0,12.0,13.0,13.0,14.0,13.0,17.0,16.0,16.0,17.0,19.0,18.0,21.0,23.0,21.0,21.0,22.0,21.0,21.0,23.0,20.0,21.0,25.0,26.0,23.0,22.0,25.0,25.0,28.0,25.0,36.0,22.0,ü,-21,yes,,,ü
58,3106,,p,4.0,4.0,5.0,6.0,6.0,8.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,13.0,14.0,15.0,14.0,16.0,15.0,16.0,14.0,14.0,11.0,12.0,12.0,13.0,15.0,14.0,15.0,15.0,16.0,17.0,18.0,21.0,22.0,24.0,25.0,27.0,29.0,29.0,29.0,30.0,30.0,28.0,30.0,27.0,29.0,29.0,25.0,ü,-8,,,,üü
59,3107,,p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,û,-41,,,,û
